	hitIntron	hitIntronEvent	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	C	D
reference.300.501	GENE01:E002	IR	32	32	27	33	14	36	31	30	38	25	31	31	30	24	27	22	31	24	0.539772727272727	0.524691358024691
reference.1250.1301	GENE02:I001	-	0	0	0	0	0	0	0	0	0	0	0	0	60	64	67	10	12	12	0	0
reference.1250.1601	GENE02:Io003	-	0	0	0	0	0	0	0	0	0	0	0	0	27	26	22	76	71	87	0	0
reference.1400.1601	GENE02:I003	-	0	0	0	0	0	0	0	0	0	0	0	0	47	49	51	10	11	12	0	0
reference.2250.2501	GENE03:Io002	-	8	6	6	27	34	34	0	0	0	0	0	0	69	53	59	27	23	33	0.0523560209424084	0.363984674329502
reference.2350.2501	GENE03:I002	-	0	0	0	0	0	0	0	0	0	0	0	0	12	9	9	39	35	38	0	0
reference.3250.3401	GENE04:I001	-	0	0	0	0	0	0	0	0	0	0	0	0	54	55	60	31	38	29	0	0
reference.3250.3501	GENE04:Io002	-	0	0	0	0	0	0	43	42	50	25	21	20	18	17	14	34	36	45	0.579399141630901	0.222972972972973
reference.4250.4501	GENE05:Io001	-	31	26	29	6	8	9	0	0	0	0	0	0	44	51	33	52	61	53	0.251461988304094	0.0647887323943662
reference.4350.4601	GENE05:Io002	-	0	0	0	0	0	0	26	36	31	64	47	64	24	33	38	15	11	10	0.328621908127208	0.708502024291498
reference.5250.5601	GENE06:Io001	-	58	62	55	26	40	44	0	0	0	0	0	0	9	3	3	20	19	21	0.853658536585366	0.478260869565217
reference.5350.5601	GENE06:Io002	-	24	27	25	23	32	35	0	0	0	0	0	0	29	18	30	27	18	15	0.330434782608696	0.428571428571429
reference.5450.5601	GENE06:I003	-	0	0	0	0	0	0	0	0	0	0	0	0	52	38	35	32	31	38	0	0
reference.6250.6351	GENE07:E002	IR*	21	23	13	12	21	19	20	11	19	18	18	24	35	25	23	16	15	8	0.391941391941392	0.589473684210526
reference.6250.6601	GENE07:Io001	-	21	23	13	12	21	19	0	0	0	0	0	0	32	28	29	35	34	29	0.242553191489362	0.209677419354839
reference.6450.6601	GENE07:I003	-	0	0	0	0	0	0	0	0	0	0	0	0	48	48	49	45	52	62	0	0
reference.7250.7351	GENE08:E002	IR*	31	34	37	18	19	22	35	25	27	25	10	14	20	25	23	15	6	14	0.581538461538462	0.606741573033708
reference.7250.7601	GENE08:Io001	-	31	34	37	18	19	22	15	9	8	15	28	21	15	12	10	35	41	24	0.644230769230769	0.380804953560372
reference.7450.7601	GENE08:E004	IR*	11	11	10	22	25	31	15	9	8	15	28	21	28	45	33	31	18	28	0.231884057971014	0.47972972972973
reference.8250.8351	GENE09:E002	IR	23	33	24	34	39	51	34	35	40	46	49	36	19	18	12	4	8	5	0.658536585365854	0.882352941176471
reference.8450.8601	GENE09:E004	IR	40	41	24	38	27	18	28	31	29	26	23	26	17	20	19	34	32	13	0.632786885245902	0.5
reference.9250.9351	GENE10:E002	IR*	25	18	25	17	21	19	20	18	30	15	16	20	13	8	16	20	30	19	0.647619047619048	0.439024390243902
reference.9250.9451	GENE10:Io001	-	25	18	25	17	21	19	34	39	30	25	26	17	19	17	18	10	13	15	0.612903225806452	0.621890547263682
