	symbol	locus_overlap	gene_coordinates	start	end	length	effective_length	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
GENE01	GENE01	-	reference:1-700	1	700	700	700	319	351	330	315	331	354
GENE02	GENE02	-	reference:1001-1800	1001	1800	800	550	327	333	340	329	338	333
GENE03	GENE03	-	reference:2001-2800	2001	2800	800	650	342	321	337	344	312	344
GENE04	GENE04	-	reference:3001-3800	3001	3800	800	650	313	337	350	328	339	333
GENE05	GENE05	-	reference:4001-4800	4001	4800	800	650	304	362	334	346	312	342
GENE06	GENE06	-	reference:5001-5800	5001	5800	800	650	340	325	335	321	340	339
GENE07	GENE07	-	reference:6001-6800	6001	6800	800	650	371	311	318	324	333	343
GENE08	GENE08	-	reference:7001-7800	7001	7800	800	800	324	338	338	342	329	329
GENE09	GENE09	-	reference:8001-8800	8001	8800	800	800	314	363	323	360	340	300
GENE10	GENE10	-	reference:9001-9800	9001	9800	800	800	349	322	329	330	327	343
