	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
GENE02:I001	-	GENE02	-	GENE02	reference:1001-1800	1210	1390	181	0	0	0	0	0	0
GENE02:I003	-	GENE02	-	GENE02	reference:1001-1800	1510	1690	181	0	0	0	0	0	0
GENE03:I002	-	GENE03	-	GENE03	reference:2001-2800	2410	2590	181	0	0	0	0	0	0
GENE04:I001	-	GENE04	-	GENE04	reference:3001-3800	3310	3490	181	0	0	0	0	0	0
GENE05:I002	-	GENE05	-	GENE05	reference:4001-4800	4410	4590	181	0	0	0	0	0	0
GENE06:I003	-	GENE06	-	GENE06	reference:5001-5800	5510	5690	181	0	0	0	0	0	0
GENE07:I003	-	GENE07	-	GENE07	reference:6001-6800	6510	6690	181	0	0	0	0	0	0
GENE02:Io003	-	GENE02	-	GENE02	reference:1001-1800	1510	1690	181	0	0	0	0	0	0
GENE03:Io002	-	GENE03	-	GENE03	reference:2001-2800	2410	2590	181	0	0	0	0	0	0
GENE04:Io002	-	GENE04	-	GENE04	reference:3001-3800	3410	3590	181	41	38	45	24	20	18
GENE05:Io001	-	GENE05	-	GENE05	reference:4001-4800	4410	4590	181	0	0	0	0	0	0
GENE05:Io002	-	GENE05	-	GENE05	reference:4001-4800	4510	4690	181	24	34	30	60	45	61
GENE06:Io001	-	GENE06	-	GENE06	reference:5001-5800	5510	5690	181	0	0	0	0	0	0
GENE06:Io002	-	GENE06	-	GENE06	reference:5001-5800	5510	5690	181	0	0	0	0	0	0
GENE07:Io001	-	GENE07	-	GENE07	reference:6001-6800	6510	6690	181	0	0	0	0	0	0
GENE08:Io001	-	GENE08	-	GENE08	reference:7001-7800	7510	7690	181	15	9	7	15	27	19
GENE10:Io001	-	GENE10	-	GENE10	reference:9001-9800	9360	9540	181	32	37	30	24	26	17
GENE01:E002	IR	GENE01	-	GENE01	reference:1-700	410	590	181	29	30	37	23	30	28
GENE07:E002	IR*	GENE07	-	GENE07	reference:6001-6800	6260	6440	181	20	11	17	18	18	23
GENE08:E002	IR*	GENE08	-	GENE08	reference:7001-7800	7260	7440	181	33	23	27	25	9	14
GENE08:E004	IR*	GENE08	-	GENE08	reference:7001-7800	7510	7690	181	15	9	7	15	27	19
GENE09:E002	IR	GENE09	-	GENE09	reference:8001-8800	8260	8440	181	33	34	40	45	48	35
GENE09:E004	IR	GENE09	-	GENE09	reference:8001-8800	8510	8690	181	27	29	29	26	21	21
GENE10:E002	IR*	GENE10	-	GENE10	reference:9001-9800	9260	9440	181	19	18	30	15	16	18
