	symbol	locus_overlap	gene_coordinates	start	end	length	effective_length	logFC	pvalue	gen.fdr
GENE01	GENE01	-	reference:1-700	1	700	700	700	-0.00869155144070653	0.910992099438603	0.921876416921497
GENE02	GENE02	-	reference:1001-1800	1001	1800	800	550	-0.00868204243334033	0.912835287721047	0.921876416921497
GENE03	GENE03	-	reference:2001-2800	2001	2800	800	650	-0.00870856002007874	0.90758553290157	0.921876416921497
GENE04	GENE04	-	reference:3001-3800	3001	3800	800	650	-0.0086648994228553	0.916263564186393	0.921876416921497
GENE05	GENE05	-	reference:4001-4800	4001	4800	800	650	-0.00866103788464696	0.917066286300054	0.921876416921497
GENE06	GENE06	-	reference:5001-5800	5001	5800	800	650	-0.00870352176359287	0.908578393158544	0.921876416921497
GENE07	GENE07	-	reference:6001-6800	6001	6800	800	650	-0.00882771178783473	0.902363413151486	0.921876416921497
GENE08	GENE08	-	reference:7001-7800	7001	7800	800	800	-0.00867421444519705	0.914391599547255	0.921876416921497
GENE09	GENE09	-	reference:8001-8800	8001	8800	800	800	-0.008636794705054	0.921876416921497	0.921876416921497
GENE10	GENE10	-	reference:9001-9800	9001	9800	800	800	-0.0087173644854285	0.905860258294333	0.921876416921497
