	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	logFC	pvalue	bin.fdr
GENE05:E002	E	Alt5ss	GENE05	-	GENE05	reference:4001-4800	4251	4350	100	-1.06661368413899	7.7830776897006e-16	1.08963087655808e-14
GENE08:E002	E	IR*	GENE08	-	GENE08	reference:7001-7800	7251	7350	100	-0.63379618883525	1.01445159481503e-08	7.10116116370518e-08
GENE08:E004	E	IR*	GENE08	-	GENE08	reference:7001-7800	7451	7600	150	0.674238237773944	3.31848021908928e-08	1.54862410224166e-07
GENE05:E003	E	Alt3ss	GENE05	-	GENE05	reference:4001-4800	4501	4600	100	0.419127426704307	2.68710591217668e-07	9.40487069261839e-07
GENE06:E003	E	Alt5ss*	GENE06	-	GENE06	reference:5001-5800	5351	5450	100	0.10461113631888	0.2890818454774	0.578163690954801
GENE06:E002	E	Alt5ss*	GENE06	-	GENE06	reference:5001-5800	5251	5350	100	-0.0652492072666875	0.407327316312461	0.712822803546807
GENE08:E003	E	Undefined AS	GENE08	-	GENE08	reference:7001-7800	7351	7450	100	0.0392905659459463	0.629847386453231	0.936171686100856
GENE09:E003	E	-	GENE09	-	GENE09	reference:8001-8800	8351	8450	100	-0.0269313028122582	0.723706466066087	0.936171686100856
GENE10:E002	E	IR*	GENE10	-	GENE10	reference:9001-9800	9251	9350	100	0.0387283750396739	0.749896006474221	0.936171686100856
GENE10:E003	E	Alt3ss*	GENE10	-	GENE10	reference:9001-9800	9351	9450	100	-0.0240889415372165	0.802432873800734	0.936171686100856
GENE07:E002	E	IR*	GENE07	-	GENE07	reference:6001-6800	6251	6350	100	0.00109939769782572	0.989870879965117	0.995651637089777
GENE07:E003	E	ES*	GENE07	-	GENE07	reference:6001-6800	6351	6450	100	0.00023730770461669	0.995651637089777	0.995651637089777
