	event	J3	logFC	log.mean	pvalue	FDR	dPIN	multiplicity	countsJ1.col_16	countsJ1.col_23	countsJ2.col_16	countsJ2.col_23	countsJ3.col_16	countsJ3.col_23
AT4G22890:E003	Alt3ss*	4.12007355.12007791;4.12007355.12007788	-0.724553295352029	6.31590430725959	1.08168700172391e-06	0.00244136756289086	0.0302529596508621	Yes	1369	1929	0	0	39.6666666666667	119.666666666667
AT5G62300:E005	Alt3ss	5.25022246.25022356	1.09388076275572	4.44846050081629	8.16138248900783e-06	0.00921012013884534	-0.0134621016051742	No	0	0	1632	1566.33333333333	33.3333333333333	10.3333333333333
AT2G42600:E012	Alt3ss	2.17738711.17738910	0.614787587796838	5.98868468677217	7.56174999418097e-05	0.0568895657895549	-0.0779761472744258	No	0	0	477.666666666667	300.333333333333	97	30
AT5G26742:E006	Alt3ss	5.9285615.9285695	0.3582019309106	8.50250034052918	0.000189138175351853	0.106721215442283	-0.0929125386875017	No	0	0	842	1248.66666666667	378.666666666667	346.666666666667
AT3G53890:E004	Alt3ss	3.19956062.19956296	0.706037821261651	4.98489310760979	0.000660063251696001	0.297952551815575	-0.0147107158239882	No	0	0	1500	1295.33333333333	44.6666666666667	18.6666666666667
AT5G51460:E004	Alt3ss	5.20902559.20902660	-1.18763622225362	3.62449086490779	0.00106250454800325	0.399390133443707	0.301666666666667	No	23.3333333333333	28.6666666666667	0	0	3.33333333333333	21.3333333333333
AT5G61580:E014	Alt3ss	5.24763557.24763663	-1.09414613526917	3.71881824745595	0.00134217937243339	0.399390133443707	0.144151972058949	No	60.3333333333333	78.6666666666667	0	0	4.66666666666667	21.6666666666667
AT2G44060:E003	Alt3ss	2.18226392.18226920	0.495506474202214	5.77698127301409	0.00141564956470964	0.399390133443707	-0.0392836178955158	No	635.333333333333	602.333333333333	0	0	70.6666666666667	39
AT5G53490:E004	Alt3ss*	5.21724281.21724516	-0.271347894728587	8.17409343843901	0.00252186047075514	0.632426564721595	0.0658038987208857	No	0	0	1025	783.666666666667	276	301.666666666667
AT5G48880:E015	Alt5ss	5.19816805.19817773	1.09212039992218	4.01495034146597	0.00300157537618773	0.677455562405571	-0.136236794897349	No	91.6666666666667	117	0	0	23.6666666666667	8.66666666666667
