	event	J3	logFC	log.mean	pvalue	FDR	dPIN	multiplicity	countsJ1.col_16	countsJ1.col_23	countsJ2.col_16	countsJ2.col_23	countsJ3.col_16	countsJ3.col_23
AT4G23250:E009	-	4.12165333.12165729	4.45541439764444	2.27301849440642	2.24305894364445e-09	1.84155139273209e-06	-0.29	No	29.3333333333333	27	18	42.6666666666667	9.66666666666667	0
AT4G27820:E012	-	4.13860085.13860446	-0.937295422636458	5.99246632731459	6.01777658825496e-09	2.47029728947866e-06	0.328218399401645	No	98.6666666666667	45.3333333333333	101.666666666667	46	45.6666666666667	81.6666666666667
AT4G33520:E005	ES	4.16119918.16121203	1.06301021542111	4.88264304936184	4.93268065831708e-08	1.34991027349278e-05	-0.13599733672033	No	152	224	136.333333333333	238.666666666667	39.3333333333333	19.6666666666667
AT5G38410:E004	-	5.15377740.15378136	4.26887313898926	2	1.24060417973369e-07	2.54634007890341e-05	-0.00013536913470924	No	57925.3333333333	69590.6666666667	60254	70915.6666666667	8	0
AT5G18230:E016	ES	5.6026509.6026939	-0.414366237547863	7.18322182405577	8.60280221688339e-05	0.0141258012401225	0.175762280073243	No	88	60	100	69	116.666666666667	174
AT4G38510:E018	ES*	4.18014796.18015066	0.466778630681152	6.98679014278239	0.000261622398759446	0.0357986648969176	-0.190255358896081	No	29.3333333333333	63.3333333333333	119.666666666667	145	155.333333333333	98.3333333333333
AT1G20640:E003	-	1.7154549.7155170	-1.979962415872	2.16992500144231	0.000497164338299342	0.0583102745348228	0.202284401189511	No	0	0	44.3333333333333	55.3333333333333	0.666666666666667	8.33333333333333
AT5G65060:E003	-	5.25987711.25989942	-0.67268286856272	5.3037807481771	0.000582319801039703	0.0597605695816995	0.246408839779006	No	64.3333333333333	36	52.6666666666667	26.6666666666667	32	47
AT3G56150:E004	-	3.20836708.20837065	-3.23012256071863	0.584962500721156	0.000767596874264887	0.0653269431088765	0.00471327572663005	No	742	716.333333333333	544.333333333333	550.666666666667	0	3
AT4G28910:E004	ES*	4.14265757.14266536	-0.509920022560882	6.07681559705083	0.000795699672458909	0.0653269431088765	0.190077330548118	No	63	43.3333333333333	76.6666666666667	58.6666666666667	52.3333333333333	82.6666666666667
AT3G54750:E008	-	3.20266275.20266822	2.8627972355521	0.222392421336448	0.00307766034935569	0.219240389448339	-0.0292275574112735	No	69	75	86	81.6666666666667	2.33333333333333	0
AT5G22620:E007	ES	5.7518471.7518811	-0.864951584172941	4.6724253419715	0.0032044880309136	0.219240389448339	0.17140078609344	No	82.6666666666667	62.3333333333333	105.666666666667	79.3333333333333	17	34
AT4G30690:E003	-	4.14961016.14961224	1.33970811873983	2.27301849440642	0.00398507052732387	0.251672530994838	-0.0313636241213069	No	190.333333333333	242.666666666667	142	180.666666666667	7.33333333333333	2.33333333333333
AT1G07780:E009	ES*	1.2411929.2412610	-0.843902800377887	3.90689059560852	0.00568038887488309	0.333114233305644	0.24888249109781	No	29	26.6666666666667	20.6666666666667	18.6666666666667	8	22
AT3G49010:E003	ES*	3.18167192.18167710	-0.710961687148982	4.02974734339405	0.00633782981681752	0.346890551973812	0.00709983787374346	No	17.3333333333333	10.3333333333333	3646.66666666667	2813.66666666667	12.6666666666667	20
AT4G24740:E008	-	4.12755782.12756303	0.780506991162715	3.71881824745595	0.00688418684200869	0.353244837330571	-0.102763368617167	No	77	98	66.3333333333333	79.6666666666667	17.3333333333333	9
AT3G48780:E010	-	3.18091601.18091837	-1.20409575849568	2.93859945533586	0.00806767108824931	0.374764111577931	0.0991288108317522	No	68.6666666666667	78.6666666666667	56.6666666666667	67	3	12.3333333333333
AT1G52500:E004	-	1.19560282.19563011	-1.00045010801205	3.14295795384204	0.00821650914543576	0.374764111577931	0.208974358974359	No	23.6666666666667	24.6666666666667	21	27.3333333333333	3.66666666666667	14
AT1G73177:E002	-	1.27516782.27517277	2.72596628099468	-0.584962500721156	0.00897388973474813	0.387766498538327	-0.020671834625323	No	65.3333333333333	97.6666666666667	61	86.6666666666667	1.33333333333333	0
AT1G52500:E003	-	1.19560282.19563011	-0.976066020663918	3.14295795384204	0.00993678612218029	0.407905070315501	0.189813502017668	No	26.6666666666667	35.6666666666667	23.6666666666667	24.6666666666667	3.66666666666667	14
AT4G24740:E009	-	4.12755782.12756303	0.724634152863672	3.71881824745595	0.0121018501276362	0.444324754026403	-0.0979181930272869	No	66.3333333333333	79.6666666666667	73.3333333333333	80.6666666666667	17.3333333333333	9
AT1G45248:E003	ES*	1.17163276.17163535	1.3903296938578	1.32192809488736	0.0124971321543397	0.444324754026403	-0.192939244663383	No	13	22.3333333333333	7.66666666666667	13.6666666666667	3.66666666666667	1.33333333333333
AT1G34570:E004	-	1.12656034.12656429	1.13015302459563	2.27301849440642	0.0129617262646543	0.444324754026403	-0.106373302194088	No	40.6666666666667	51.6666666666667	33.6666666666667	45.3333333333333	7	2.66666666666667
AT4G33050:E007	-	4.15945477.15945750	1.75836807579892	2.58496250072116	0.012988786963013	0.444324754026403	-0.126845991561181	No	59	13	75.6666666666667	18.3333333333333	11.6666666666667	0.333333333333333
AT2G27350:E011	-	2.11701007.11704057	1.05361786054043	2.77258950389693	0.0136446212884533	0.448089363112807	-0.097310623038996	No	42	57.6666666666667	68	87.6666666666667	9.66666666666667	4
AT1G68310:E008	-	1.25600661.25601142	-1.08218701634463	2.41503749927884	0.0152857327071761	0.457416689502195	0.0423349104439634	No	122.333333333333	115.666666666667	114.666666666667	117	2.66666666666667	8
AT1G07350:E005	ES	1.2258602.2259003	-0.736107076325483	3.90689059560852	0.0161677715241349	0.457416689502195	0.241621281943863	No	17	13.3333333333333	19	24.6666666666667	7.66666666666667	22.3333333333333
AT1G52500:E002	-	1.19560282.19563011	-0.908549265523906	3.14295795384204	0.0164661430189029	0.457416689502195	0.161438249088067	No	29.3333333333333	37.3333333333333	26.6666666666667	35.6666666666667	3.66666666666667	14
AT5G51100:E003	-	5.20773557.20773874;5.20773648.20773874	0.619425161352549	4.01495034146597	0.0166627381704961	0.457416689502195	-0.053509968179752	Yes	153.333333333333	165.333333333333	158.666666666667	160	21	11.3333333333333
