	size	cluster.LR	pvalue	FDR
24560	103	876.397233648206	2.21670428268836e-123	8.38933902826235e-119
24556	233	996.401842353803	3.04165577812345e-95	5.755725228943e-91
24557	133	649.068771668324	2.94289263390423e-69	3.71255715409132e-65
7719	7	78.1095571226646	8.77555234882557e-15	8.30298885484132e-11
15550	4	67.7670969045874	1.28316893718709e-14	9.71256231935649e-11
7718	6	67.4017448624425	3.55553900374584e-13	2.19241682654862e-09
19617	4	60.7546672469278	4.05509638689435e-13	2.19241682654862e-09
18637	10	70.8274818656357	1.0477614903209e-11	4.95669767033558e-08
21805	9	66.6446085726427	2.2804008847952e-11	9.5893390984399e-08
24561	52	146.610118344818	3.48951636094578e-11	1.32064236196354e-07
17412	5	51.7871281864517	1.52832725763444e-10	5.2582793993121e-07
15548	9	59.6880381045914	5.36618575958318e-10	1.69240555214321e-06
37843	3	41.583678519528	9.33724900873579e-10	2.71828866142011e-06
21808	6	50.4933489852917	1.09829076560684e-09	2.96899373679689e-06
6362	3	41.1102766299332	1.18308747068519e-09	2.98500856103677e-06
3471	4	41.9424185837261	4.12661206424891e-09	9.76098501147277e-06
4791	3	37.4161809836891	7.50204271232455e-09	1.6701312264155e-05
5203	11	55.6874013486605	2.3490772212787e-08	4.85591645842519e-05
9486	2	31.1102253216359	2.43783788802195e-08	4.85591645842519e-05
24458	4	38.0071859963704	2.81659084715311e-08	5.32983486006782e-05
18929	5	40.0989970146248	4.12909796457721e-08	7.44142102701852e-05
33383	3	32.5309041289135	8.62986342615525e-08	0.000148457186921033
9675	6	41.0026830889605	9.37108109979242e-08	0.000154199102305541
4338	6	40.6181102649475	1.12060568837292e-07	0.000176710178675674
25773	4	34.6574266258877	1.4391382722405e-07	0.000217862508204856
10250	5	36.1405718571182	2.70727105167032e-07	0.000394074539313519
35660	2	25.6423739212391	4.10916184198117e-07	0.000575982737302294
20558	3	28.6747785634198	5.93404656653437e-07	0.000802071165560928
21807	6	35.7869913645142	1.04769395459594e-06	0.00136727673812544
5896	5	33.1489634056162	1.1134650300891e-06	0.0014046732509584
7352	5	31.3651309625376	2.57876155856963e-06	0.00314825193372987
18057	7	36.0453966457819	2.70118495499562e-06	0.00319076619084705
653	4	28.5513484049349	2.78220378105884e-06	0.00319076619084705
3465	3	25.3946004833066	3.05937398910383e-06	0.00331105600290996
32101	2	21.777268439916	3.0620662712532e-06	0.00331105600290996
34634	2	21.6779473659636	3.22477259164628e-06	0.00339013176398459
15549	10	41.8428550735354	3.51119799286858e-06	0.00350012108834088
5202	2	21.5130097832754	3.51436350887685e-06	0.00350012108834088
22645	4	26.9665850802956	5.9830871359734e-06	0.00580604912174486
26918	3	23.381806761156	8.36960907057609e-06	0.00791890562212557
16920	8	35.4544468787463	9.18602451994184e-06	0.00832181213421662
37845	2	19.6634247212924	9.23521930024568e-06	0.00832181213421662
18608	6	30.918350498621	9.7214509774974e-06	0.00855623334172946
1032	3	22.9096785868426	1.05980631692748e-05	0.00911577951600849
23965	2	19.1112624396431	1.2331504757102e-05	0.0103710695341618
36204	3	22.4210064774539	1.35313243413592e-05	0.0111327500222409
12842	6	30.063377811848	1.43309316008165e-05	0.0115397539864787
23231	3	22.1725767073512	1.53209658028773e-05	0.0120799431619937
16882	5	27.4010661516875	1.6491766212152e-05	0.0127377017156144
23885	2	18.1555985434508	2.03570074693956e-05	0.0154086260937349
8286	4	24.0401660140992	2.45022637127765e-05	0.017880407275333
9386	5	26.5448305138984	2.45674887258182e-05	0.017880407275333
21788	7	31.0090557196355	2.52485667854479e-05	0.01802938223702
4339	3	21.0286304192023	2.7145067346983e-05	0.0190246707187763
3415	2	16.3025386730269	5.39915695112255e-05	0.0365680473718638
2456	7	29.2687819025118	5.41090380178717e-05	0.0365680473718638
24558	12	38.739674255262	5.86484443936532e-05	0.0389405092372315
9223	2	16.0329241283015	6.22505001488754e-05	0.0406195246316265
12822	2	15.8024534640719	7.03112753477162e-05	0.0451017038442316
24271	12	38.1127860179333	7.4880139748312e-05	0.0468711474037904
16203	4	21.6934766866975	7.55466889930565e-05	0.0468711474037904
15645	2	15.0704081964362	0.000103574305213385	0.0632237605662219
1191	2	14.9731166058298	0.000109053790395624	0.0642934589973767
29931	3	18.2454177597949	0.000109158578989112	0.0642934589973767
21806	2	14.9495711593288	0.000110423157924998	0.0642934589973767
32659	3	18.1090248416255	0.000116862512519959	0.0670117977095512
10421	30	65.5898532258604	0.000118637131438824	0.0670140429318469
30951	2	14.7536662975751	0.000122509077503909	0.0681835080472492
3645	6	25.1994914638256	0.000127502982691172	0.0699344620714507
17107	5	22.9447821042402	0.000129883382674736	0.0702223785815435
3434	4	20.4369920787734	0.000137779735520606	0.0734424207114489
17507	3	17.6520383575458	0.000146861707575808	0.0771962247904726
37037	2	13.9365144170858	0.00018908928878996	0.0980311400485592
7049	13	37.3399596859279	0.000196741329214082	0.100619896559948
37706	2	13.8258220228785	0.000200560829118757	0.101205668517713
20188	5	21.5527673704522	0.000245973305584321	0.121590594066039
35798	3	16.6091416299655	0.000247383494770517	0.121590594066039
3566	3	16.5759843046681	0.000251518967861976	0.122038293047492
33482	2	13.1527599238458	0.000287096053136542	0.137157555434006
29250	2	13.1343701853985	0.000289927718509762	0.137157555434006
8538	7	25.2013375237142	0.000313351018949717	0.146408427940383
27717	3	16.0546991201225	0.000326412199366959	0.150651171917585
14232	2	12.766993937319	0.000352789329524095	0.160863433315288
17203	2	12.5774462370277	0.000390429866718198	0.17302736568521
27423	2	12.5564390154542	0.000394843429405617	0.17302736568521
47	3	15.6664279808221	0.000396349567293077	0.17302736568521
8330	4	18.1881113543053	0.000402252006510274	0.17302736568521
35713	2	12.5213623368662	0.000402325428851093	0.17302736568521
9803	4	17.8228449226748	0.000478445307654447	0.20298360113892
32896	2	12.1729313289142	0.000484880451865343	0.20298360113892
2455	6	22.16045454201	0.000488070277007919	0.20298360113892
25282	2	11.8081103771337	0.000589732562941802	0.242598028011907
9226	3	14.7979789092036	0.000611870772005885	0.24899850792833
16621	3	14.7556720632874	0.000624951799723832	0.251616232046257
19546	2	11.6642941492665	0.000637111113707382	0.253811654835469
31248	2	11.5569333478011	0.000674970865783383	0.266093201942062
5141	2	11.1140073305752	0.000856781689876433	0.334286183866634
17989	2	11.0382139885991	0.000892528058158434	0.344679764174123
1977	2	10.8992928499641	0.00096200978771265	0.367759822482555
32892	2	10.7800185690792	0.00102601652242692	0.388306213077693
31496	2	10.7601630130425	0.00103708248247639	0.388608154770313
23626	5	18.2968092199314	0.00107968267753455	0.400604613862476
997	3	13.5791988973745	0.00112541947215195	0.413520634398668
12742	2	10.4886864040153	0.00120107733812488	0.434043167681622
9950	8	23.8631189091776	0.00120421002501111	0.434043167681622
29751	2	10.410129554257	0.00125325951563017	0.447460939891883
37107	2	10.3434747264449	0.00129933187856827	0.459574899778457
35959	3	13.2259195854591	0.00134285169896822	0.47057004999214
37492	3	13.1497230649241	0.00139499906708951	0.484359033881372
13458	2	10.1849545814606	0.00141591208783647	0.487150989784174
10736	5	17.6670372551536	0.00143337738802125	0.488717122766237
33609	2	10.1047119523489	0.00147890706529842	0.499738542797178
8803	2	9.9596582142682	0.00160007756667808	0.535898545030961
14546	3	12.8371887397692	0.00163094713273993	0.541445834962063
19275	2	9.87779483494754	0.00167285303888058	0.550528661821516
32553	2	9.81898173137607	0.00172719940978219	0.563513697091523
9657	9	24.6404739560922	0.00178820240306542	0.578429984157383
13409	4	14.9821964027059	0.00183192674388866	0.587551691095001
27500	2	9.67747595074866	0.00186540716668689	0.593262181768335
26530	2	9.59201354872344	0.0019542551924857	0.616339516790114
6733	3	12.458184419909	0.00197124055720787	0.616558430810655
26640	4	14.7463259465835	0.00204677836407682	0.634937491531567
14056	6	18.8325062713072	0.00206519595054604	0.635442324750939
19965	2	9.44823184268509	0.0021135275138491	0.645069050718815
15613	9	24.1833408349791	0.00213503254266601	0.646419532877902
15267	3	12.2786885797377	0.00215633708690815	0.647688360247031
17263	3	12.2217517267962	0.00221860676510214	0.661144816000438
36730	2	9.27161721358225	0.00232732119477859	0.678927302005448
11502	2	9.26845626036345	0.00233134118097865	0.678927302005448
7902	5	16.5701340269246	0.00234221175567691	0.678927302005448
18827	2	9.24743707374247	0.00235825241168821	0.678927302005448
29321	2	9.22802093679003	0.00238339124116582	0.678927302005448
25663	2	9.22608334565354	0.00238591479064431	0.678927302005448
24818	2	9.20157013551357	0.00241807631187452	0.682944149994052
8499	4	14.3581145947746	0.00245608910368622	0.688541838652658
28462	3	11.9646862622459	0.00252290785718195	0.700708036445296
27581	2	9.10537551337723	0.00254859390233755	0.700708036445296
18545	2	9.10076137772559	0.00255503115334384	0.700708036445296
8287	7	20.0587849799916	0.00270345337926428	0.730931996451354
17526	7	20.0584136013776	0.002703865124536	0.730931996451354
37210	2	8.97531905515658	0.00273650793636564	0.734509782692865
29948	3	11.6597918800213	0.00293838273239079	0.781301211498703
11223	4	13.9657657717656	0.00295212369191763	0.781301211498703
32121	2	8.76818458797585	0.00306530394933782	0.805621481018327
19659	4	13.8480454262036	0.00311945762437199	0.814199953461946
3638	3	11.512907485468	0.00316230608838521	0.819730385075525
21818	3	11.478942631406	0.00321646832216694	0.827172132769257
11750	8	21.3799238275224	0.00324671165548491	0.827172132769257
19463	3	11.4541534628783	0.00325658319987896	0.827172132769257
16012	2	8.60601857162384	0.00335053933591749	0.845363411380889
20811	2	8.59240372460437	0.00337568132408473	0.846066459545105
7051	3	11.3596161574299	0.00341421364078967	0.850094272692932
18133	5	15.6748477845151	0.00348799407024753	0.861606242953934
8498	4	13.5674348048849	0.0035571827366586	0.861606242953934
23651	2	8.48633883423262	0.00357823156159384	0.861606242953934
4936	6	17.4907739405819	0.00365721389196629	0.861606242953934
27864	2	8.39089207410875	0.00377105788087798	0.861606242953934
23383	5	15.4793870438124	0.0038035577547979	0.861606242953934
18498	2	8.33542688300631	0.00388793411942582	0.861606242953934
654	10	24.2279879705344	0.00395505251572431	0.861606242953934
28755	2	8.29664735408653	0.0039718334709299	0.861606242953934
23153	3	11.0520832351284	0.00398171910280764	0.861606242953934
9941	2	8.27503689185437	0.00401938459130756	0.861606242953934
6236	4	13.2680307555397	0.00409141046620492	0.861606242953934
28552	2	8.23537352347521	0.00410817168550522	0.861606242953934
27152	4	13.2280769605439	0.00416846033298161	0.861606242953934
27449	2	8.17105151788817	0.00425642240517841	0.861606242953934
9457	10	23.9856534178007	0.00432405021726446	0.861606242953934
33875	2	8.10237674035703	0.00442072534002286	0.861606242953934
16855	13	28.5844714588257	0.00453947170411646	0.861606242953934
2248	3	10.7790767580479	0.00456407972445828	0.861606242953934
21582	3	10.7773301299377	0.00456806734039727	0.861606242953934
15618	3	10.7351608534251	0.00466540595649374	0.861606242953934
8688	3	10.732579586496	0.00467143117288356	0.861606242953934
16592	2	8.00158237088791	0.00467364894526481	0.861606242953934
12378	2	7.9661963234534	0.00476589815896599	0.861606242953934
21844	5	14.9542928512627	0.00479696170854294	0.861606242953934
12999	3	10.6678887809155	0.00482500074176379	0.861606242953934
32142	2	7.93770624973973	0.00484151652187626	0.861606242953934
17149	9	22.0203740087709	0.00487826396074938	0.861606242953934
7879	2	7.92372314290435	0.00487907655036901	0.861606242953934
21406	4	12.8876432632903	0.00488599210537587	0.861606242953934
12808	2	7.90516369670814	0.00492938806174071	0.861606242953934
26359	2	7.84152368399204	0.00510595513648266	0.861606242953934
24766	3	10.5142834255642	0.00521017563432535	0.861606242953934
28717	5	14.7478422104392	0.00525382519525892	0.861606242953934
17895	3	10.4954099420616	0.00525957543625632	0.861606242953934
26236	2	7.75609939662113	0.00535314457712111	0.861606242953934
11301	6	16.5767413416926	0.00537657242538573	0.861606242953934
27290	3	10.4407212279742	0.00540537951947403	0.861606242953934
7593	5	14.663959668864	0.00545142230319297	0.861606242953934
31662	3	10.3951340187915	0.00553000251090882	0.861606242953934
6149	2	7.68934199825728	0.00555478760440157	0.861606242953934
2913	7	18.2833114323523	0.00556184873669954	0.861606242953934
11879	7	18.2542747746213	0.00562719647707131	0.861606242953934
25007	3	10.3386186600016	0.00568849633651454	0.861606242953934
25369	2	7.60343200061356	0.00582573041393783	0.861606242953934
12406	7	18.1274792382244	0.00592139128768953	0.861606242953934
16142	8	19.8356546376144	0.00593582155636987	0.861606242953934
15492	2	7.56017080693397	0.00596723360951493	0.861606242953934
16962	2	7.50269708427172	0.00616066642730407	0.861606242953934
21025	2	7.49993023922507	0.00617013831895179	0.861606242953934
1192	6	16.2270179249633	0.00622494776970713	0.861606242953934
36301	2	7.45971788352393	0.00630948941719675	0.861606242953934
2091	3	10.1273985511319	0.00632212890450925	0.861606242953934
9130	3	10.1141093494351	0.00636427680049308	0.861606242953934
14480	5	14.2613478157023	0.00650600230767123	0.861606242953934
7426	2	7.39449164230827	0.00654239119931877	0.861606242953934
36080	2	7.38495847820012	0.0065771588328715	0.861606242953934
23809	6	16.0705023948857	0.00664564265255818	0.861606242953934
25944	3	9.98932916642555	0.00677399282886981	0.861606242953934
13831	3	9.97876753426021	0.00680985965885918	0.861606242953934
2475	2	7.28841905324515	0.00694005218018255	0.861606242953934
2428	2	7.28696600887753	0.00694566772124355	0.861606242953934
1066	3	9.9311106348274	0.00697407680728161	0.861606242953934
17323	2	7.26903289712269	0.00701535670759733	0.861606242953934
11831	4	12.0704007773428	0.00714584715800102	0.861606242953934
7550	4	12.0572662498202	0.00718954295560602	0.861606242953934
14368	5	14.032833925833	0.00719099734844059	0.861606242953934
7127	3	9.82963232539463	0.00733706659497132	0.861606242953934
26217	2	7.18133952047859	0.00736656883519065	0.861606242953934
37066	2	7.16336423751654	0.00744075117720248	0.861606242953934
21712	2	7.15053071742382	0.00749418073062271	0.861606242953934
32393	3	9.77859975096143	0.00752669025112234	0.861606242953934
12547	5	13.9108502308043	0.00758508837461486	0.861606242953934
32980	5	13.8951508746686	0.00763731993175929	0.861606242953934
3385	12	25.5009650429065	0.00769479543394345	0.861606242953934
7836	2	7.08426885820612	0.00777635401707066	0.861606242953934
7171	5	13.8434970504557	0.00781166952491352	0.861606242953934
13608	2	7.04483186434133	0.00794942865716589	0.861606242953934
25134	3	9.65979008047875	0.00798735957330932	0.861606242953934
26660	3	9.65522295329436	0.00800562005838296	0.861606242953934
11636	2	7.02996204175266	0.00801570519930974	0.861606242953934
18236	3	9.62960868226481	0.00810880848298587	0.861606242953934
103	2	6.99094772069742	0.00819229652036615	0.861606242953934
19438	2	6.96604794194688	0.00830707667656195	0.861606242953934
11631	7	17.2553828182715	0.00838910812093673	0.861606242953934
30948	3	9.55006791931528	0.00843779753787038	0.861606242953934
13729	2	6.91271208736092	0.00855850786268892	0.861606242953934
910	2	6.91217918299855	0.00856105894799157	0.861606242953934
20694	2	6.90639582181867	0.00858879478238977	0.861606242953934
5883	2	6.90541119823059	0.00859352599169081	0.861606242953934
5544	14	28.1311023891005	0.00867630559604513	0.861606242953934
28585	2	6.88650943381605	0.00868486966357841	0.861606242953934
1376	2	6.86414456753005	0.00879423368423906	0.861606242953934
7813	5	13.5689119011099	0.0088059554383692	0.861606242953934
24361	5	13.5362767563124	0.00893206352059235	0.861606242953934
27209	2	6.83066138101177	0.00896060793723663	0.861606242953934
28661	2	6.81437468505592	0.00904269625779021	0.861606242953934
1950	2	6.80906190808125	0.00906963998361247	0.861606242953934
7623	2	6.79999489202257	0.00911581333229151	0.861606242953934
20397	2	6.78548353552578	0.00919021322731979	0.861606242953934
4847	4	11.5198795245186	0.00922258478707427	0.861606242953934
15175	4	11.5062515830473	0.00928091668165654	0.861606242953934
26059	2	6.73922761367825	0.00943154512428633	0.861606242953934
1302	2	6.71677619822708	0.00955101180506877	0.861606242953934
21549	2	6.71540393337025	0.00955836387002192	0.861606242953934
8151	2	6.68977377887094	0.00969675089706609	0.861606242953934
26625	2	6.67934734746447	0.00975363306153659	0.861606242953934
780	7	16.8681461550593	0.00978023944572558	0.861606242953934
35546	2	6.67033379826962	0.00980308265652242	0.861606242953934
36448	2	6.6470153446788	0.00993220650759187	0.861606242953934
11063	3	9.21716434444248	0.00996593827977332	0.861606242953934
30523	2	6.63567907645008	0.00999560846399595	0.861606242953934
4850	7	16.8122859609908	0.00999845169716217	0.861606242953934
18764	3	9.1907214602576	0.0100985772627783	0.861606242953934
34770	2	6.61607370924863	0.0101062389924161	0.861606242953934
10295	4	11.2976156972942	0.0102207498093844	0.861606242953934
26179	2	6.5930610465708	0.0102376992418862	0.861606242953934
16899	4	11.2788821821208	0.010309594568229	0.861606242953934
