bin	feature	bin.event	locus	locus_overlap	gene_coordinates	start	end	length	bin.logFC	bin.pvalue	bin.fdr	J3	J3.multiplicity	junction.logFC	junction.log.mean	junction.pvalue	junction.fdr	junction.dPIR	junction.dPIN	junction.uniformity	countsJ1.col_16	countsJ1.col_23	countsJ2.col_16	countsJ2.col_23	countsJ3.col_16	countsJ3.col_23
AT1G01620:I001	I	-	AT1G01620	-	1:225665-227302	226082	226170	89	-0.901582981685078	1.97289651234587e-07	0.000372185738562173	1.226081.226171	No	0.0394264201473682	10.586370695114	0.627706351681464	1	-0.0195830541795066	NA	NA	18.6666666666667	78.3333333333333	18.3333333333333	62.3333333333333	1155.33333333333	1919.66666666667
AT1G01620:I002	I	-	AT1G01620	-	1:225665-227302	226312	226395	84	-0.586245125190858	0.000152880707676474	0.064522663954918	1.226311.226396	No	0.0171582386214855	10.8752373943384	0.830713909183185	1	-0.00821070171318299	NA	NA	14.3333333333333	48.6666666666667	17	36	1509	2247.66666666667
AT1G01620:I003	I	-	AT1G01620	-	1:225665-227302	226692	226848	157	-0.402001152869538	0.000518351336062774	0.131544463289097	1.226691.226849	No	0.0303390070652175	10.6888330984931	0.707431453935023	1	-0.0158003293824914	NA	NA	21.3333333333333	64	18.3333333333333	60.3333333333333	1327	1974.33333333333
AT1G01790:I010	I	-	AT1G01790	-	1:284610-291094	288177	288400	224	-0.723765092756159	3.82715233614711e-05	0.0246605631951267	1.288176.288401	No	0.0469098242724257	8.11721018464439	0.633786582877134	1	-0.0223096026490066	NA	NA	7.33333333333333	10.6666666666667	4.66666666666667	10	314	241.333333333333
AT1G01910:E006	E	IR*	AT1G01910	-	1:313101-315902	313453	313566	114	-0.290251416302478	0.000909382365768559	0.180927803620934	1.313452.313567	No	0.443523551675707	3.1963972128035	0.191090508128475	1	-0.0277183842636024	NA	NA	52.3333333333333	68.3333333333333	157.333333333333	220	9.66666666666667	8.66666666666667
AT1G01910:Io009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.313418.313567	No	1.68553851018597	3.54432051622381	1.90704897856605e-07	0.00348406406090146	-0.117360698324637	NA	NA	66	80.3333333333333	157.333333333333	220	19	4.33333333333333
AT1G04030:E003	E	-	AT1G04030	-	1:1040383-1042892	1041049	1042093	1045	-0.586321546432417	4.50133127376576e-08	0.000111875230081741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04040:I001	I	-	AT1G04040	-	1:1042362-1043864	1042742	1042953	212	-0.876470540311321	3.43966700557062e-09	1.05603847071616e-05	1.1042741.1042954	No	0.0566909402943859	9.27185205178185	0.514860428785638	1	-0.0287433970719716	NA	NA	10.3333333333333	25.6666666666667	6.33333333333333	12	776.666666666667	459.666666666667
AT1G04040:I002	I	-	AT1G04040	-	1:1042362-1043864	1043164	1043391	228	-1.53990027270427	4.78512493219171e-15	6.81136433416042e-11	1.1043163.1043392	No	0.0828701574246312	9.16950749455446	0.346844375605359	1	-0.0411380321174893	NA	NA	3	18.3333333333333	5	20	757.666666666667	394
AT1G04080:I001	I	-	AT1G04080	-	1:1051312-1056827	1051492	1051768	277	-0.878251848027352	0.000386052612748964	0.111940244540037	1.1051491.1051769	No	0.0501661577359247	7.87241837835138	0.621018670257878	1	-0.0247139382443151	NA	NA	7.33333333333333	12	0	7.66666666666667	233.666666666667	235
AT1G04130:I007	I	-	AT1G04130	-	1:1073427-1075568	1075201	1075300	100	1.25683370031932	0.00105614230123945	0.193230697548113	1.1075200.1075301	No	-0.384913151184456	4.63420601974101	0.0843794976724592	1	0.188988095238095	NA	NA	8.66666666666667	1	8	3	23.6666666666667	26
AT1G04430:I001	I	-	AT1G04430	-	1:1198118-1201527	1198327	1198637	311	-0.717981854629986	2.27204632030085e-05	0.0179000256854395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04430:I006	I	-	AT1G04430	-	1:1198118-1201527	1200305	1200423	119	-1.19793897664852	5.72256442600028e-06	0.00645609639358281	1.1200304.1200424	No	0.0644274252703543	8.4015906490355	0.493979765041156	1	-0.0327644998164009	NA	NA	6	17.6666666666667	3.66666666666667	14.6666666666667	345.333333333333	331
AT1G04620:I001	I	-	AT1G04620	-	1:1282741-1286584	1282960	1283067	108	-0.943061165148297	0.000396349669050051	0.113871623541629	1.1282959.1283068	No	0.110597284158228	7.00375213486111	0.347106575272575	1	-0.0553743513713862	NA	NA	3.33333333333333	10	4.66666666666667	9.33333333333333	148	108.666666666667
AT1G04900:I009	I	-	AT1G04900	-	1:1383841-1387895	1386570	1386640	71	-3.59580683588783	0.000201978097307142	0.0769477579032967	1.1386569.1386641	No	0.118138892424943	5	0.564996702689535	1	-0.0583333333333333	NA	NA	0	3.66666666666667	0	1	26.3333333333333	37.6666666666667
AT1G04950:I008	I	-	AT1G04950	-	1:1403085-1407501	1406058	1406338	281	1.08558428490803	0.000758129882390845	0.15998277473703	1.1406057.1406339	No	-0.109120091972065	5.97345821254751	0.473984755352202	1	0.0532157013169671	NA	NA	7.33333333333333	1.66666666666667	2.33333333333333	1	61	64.6666666666667
AT1G05805:I001	I	-	AT1G05805	-	1:1744773-1747693	1745318	1746209	892	-0.35675727517121	0.000734643501423496	0.156716273582275	1.1745317.1746210	No	0.103458524964978	6.97345821254751	0.391925089249213	1	-0.0442301510768242	NA	NA	20.6666666666667	28.3333333333333	19.6666666666667	22.6666666666667	132.333333333333	119
AT1G05850:I002	I	-	AT1G05850	-	1:1766503-1768695	1767512	1767729	218	-0.433300202975483	0.000233389335064271	0.083243436662935	1.1767511.1767730	No	0.0127241749573965	11.1209938087404	0.872179347186724	1	-0.00638505653061938	NA	NA	16.6666666666667	30.6666666666667	15	27.6666666666667	2285	2169.33333333333
AT1G05900:I004	I	-	AT1G05900	-	1:1786856-1789676	1787689	1787785	97	-0.884480037136115	0.000447511286370529	0.122716059034345	1.1787688.1787786	No	0.0986078602259042	4.8988532765431	0.632489074333098	1	-0.0485133020344288	NA	NA	3.33333333333333	7.66666666666667	9	9.66666666666667	29.3333333333333	30.3333333333333
AT1G06110:I004	I	-	AT1G06110	-	1:1853077-1855031	1854617	1854734	118	1.39929659730826	0.000573314810766049	0.137051999625858	1.1854616.1854735	No	-0.119449681562841	5.53915881110803	0.484289624401571	1	0.0577496445117196	NA	NA	5.66666666666667	1.33333333333333	4.33333333333333	1.33333333333333	51.3333333333333	41.6666666666667
AT1G06220:E002	E	ES	AT1G06220	-	1:1899964-1904873	1900297	1900429	133	-0.511476036133969	0.000689963173183376	0.150674677397322	1.1900107.1900512	No	0.147059333068611	7.30530177629995	0.172154064460702	1	NA	-0.0698906143225603	NA	14.3333333333333	25	25	43.3333333333333	160	156.333333333333
