	junction	gene	strand	multipleHit	symbol	gene_coordinates	bin_spanned	j_within_bin	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	logFC	pvalue	fdr	bin_start_hit	Sample_1.jsum	Sample_2.jsum	Sample_3.jsum	Sample_4.jsum	Sample_5.jsum	Sample_6.jsum	C	D	bin_end_hit	Sample_1.jsum.1	Sample_2.jsum.1	Sample_3.jsum.1	Sample_4.jsum.1	Sample_5.jsum.1	Sample_6.jsum.1	C.1	D.1
reference.300.501	GENE01:J001	GENE01	+	-	GENE01	1	GENE01:E001;GENE01:E002;GENE01:E003	-	31	23	27	23	31	23	0.144430119479725	0.578232005900899	0.633301720748603	-	0	0	0	0	0	0	1	1	-	0	0	0	0	0	0	1	1
reference.1250.1301	GENE02:J001	GENE02	+	-	GENE02	2	GENE02:E001;GENE02:E002	-	61	64	66	10	12	12	-2.26022459137073	8.98125540471223e-23	1.03284437154191e-21	reference.1250.1601	28	26	22	77	70	87	0.715355805243446	0.126865671641791	-	0	0	0	0	0	0	1	1
reference.1250.1601	GENE02:J003	GENE02	+	-	GENE02	2	GENE02:E001;GENE02:E002;GENE02:E003	-	28	26	22	77	70	87	1.8351524969167	2.71878029447748e-25	6.25319467729821e-24	reference.1250.1301	61	64	66	10	12	12	0.284644194756554	0.873134328358209	reference.1400.1601	48	49	50	10	11	12	0.340807174887892	0.876404494382023
reference.1400.1601	GENE02:J002	GENE02	+	-	GENE02	2	GENE02:E002;GENE02:E003	-	48	49	50	10	11	12	-1.92599188828078	7.26787060913175e-15	4.17902560025076e-14	-	0	0	0	0	0	0	1	1	reference.1250.1601	28	26	22	77	70	87	0.659192825112108	0.123595505617978
reference.2250.2501	GENE03:J002	GENE03	+	-	GENE03	3	GENE03:E001;GENE03:E002;GENE03:E003	-	67	55	58	26	25	32	-0.895824643911567	2.07509000074752e-06	5.96588375214913e-06	-	0	0	0	0	0	0	1	1	reference.2350.2501	12	9	9	38	37	37	0.857142857142857	0.425641025641026
reference.2350.2501	GENE03:J001	GENE03	+	-	GENE03	3	GENE03:E002;GENE03:E003	-	12	9	9	38	37	37	2.10384499211454	2.18999642665323e-15	1.67899726043415e-14	-	0	0	0	0	0	0	1	1	reference.2250.2501	67	55	58	26	25	32	0.142857142857143	0.574358974358974
reference.3250.3401	GENE04:J001	GENE04	+	-	GENE04	4	GENE04:E001;GENE04:E002	-	58	54	57	32	37	29	-0.566353968075359	0.00211820796145904	0.00374759870104292	reference.3250.3501	19	17	13	35	35	45	0.775229357798165	0.460093896713615	-	0	0	0	0	0	0	1	1
reference.3250.3501	GENE04:J002	GENE04	+	-	GENE04	4	GENE04:E001;GENE04:E002;GENE04:E003	-	19	17	13	35	35	45	1.44150089204696	1.18902698385807e-09	4.55793677145595e-09	reference.3250.3401	58	54	57	32	37	29	0.224770642201835	0.539906103286385	-	0	0	0	0	0	0	1	1
reference.4250.4501	GENE05:J001	GENE05	+	-	GENE05	5	GENE05:E001;GENE05:E002;GENE05:E003	-	48	47	33	50	65	52	0.600334487246182	0.000386996264789407	0.000809174008196033	-	0	0	0	0	0	0	1	1	-	0	0	0	0	0	0	1	1
reference.4350.4601	GENE05:J002	GENE05	+	-	GENE05	5	GENE05:E002;GENE05:E003;GENE05:E004	-	26	30	38	14	12	10	-1.15895435102296	2.83495298309788e-05	7.24487984569459e-05	-	0	0	0	0	0	0	1	1	-	0	0	0	0	0	0	1	1
