	feature	event	locus	locus_overlap	symbol	gene_coordinates	start	end	length	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
GENE02:I001	I	-	GENE02	-	GENE02	reference:1001-1800	1251	1300	50	0	0	0	0	0	0
GENE02:I003	I	-	GENE02	-	GENE02	reference:1001-1800	1401	1600	200	0	0	0	0	0	0
GENE03:I002	I	-	GENE03	-	GENE03	reference:2001-2800	2351	2500	150	0	0	0	0	0	0
GENE04:I001	I	-	GENE04	-	GENE04	reference:3001-3800	3251	3400	150	0	0	0	0	0	0
GENE05:I002	I	-	GENE05	-	GENE05	reference:4001-4800	4351	4500	150	0	0	0	0	0	0
GENE06:I003	I	-	GENE06	-	GENE06	reference:5001-5800	5451	5600	150	0	0	0	0	0	0
GENE07:I003	I	-	GENE07	-	GENE07	reference:6001-6800	6451	6600	150	0	0	0	0	0	0
GENE02:Io003	Io	-	GENE02	-	GENE02	reference:1001-1800	1251	1600	350	107	113	119	20	23	24
GENE03:Io002	Io	-	GENE03	-	GENE03	reference:2001-2800	2251	2500	250	20	16	16	73	74	81
GENE04:Io002	Io	-	GENE04	-	GENE04	reference:3001-3800	3251	3500	250	103	104	116	60	60	53
GENE05:Io001	Io	-	GENE05	-	GENE05	reference:4001-4800	4251	4500	250	60	68	73	23	19	23
GENE05:Io002	Io	-	GENE05	-	GENE05	reference:4001-4800	4351	4600	250	78	98	77	123	116	124
GENE06:Io001	Io	-	GENE06	-	GENE06	reference:5001-5800	5251	5600	350	175	158	154	117	137	140
GENE06:Io002	Io	-	GENE06	-	GENE06	reference:5001-5800	5351	5600	250	78	71	62	56	70	77
GENE07:Io001	Io	-	GENE07	-	GENE07	reference:6001-6800	6251	6600	350	127	116	112	117	133	143
GENE08:Io001	Io	-	GENE08	-	GENE08	reference:7001-7800	7251	7600	350	148	153	142	164	178	167
GENE10:Io001	Io	-	GENE10	-	GENE10	reference:9001-9800	9251	9450	200	114	106	111	81	89	75
GENE01:E002	E	IR	GENE01	-	GENE01	reference:1-700	301	500	200	103	119	113	112	94	109
GENE09:E002	E	IR	GENE09	-	GENE09	reference:8001-8800	8251	8350	100	64	76	72	91	103	103
GENE09:E004	E	IR	GENE09	-	GENE09	reference:8001-8800	8451	8600	150	100	111	87	87	73	65
GENE07:E002	E	IR*	GENE07	-	GENE07	reference:6001-6800	6251	6350	100	47	39	34	36	47	52
GENE08:E002	E	IR*	GENE08	-	GENE08	reference:7001-7800	7251	7350	100	70	64	75	47	36	44
GENE08:E004	E	IR*	GENE08	-	GENE08	reference:7001-7800	7451	7600	150	35	32	23	51	82	70
GENE10:E002	E	IR*	GENE10	-	GENE10	reference:9001-9800	9251	9350	100	55	46	61	38	44	42
