junction	junction.annotated	junction.log.mean	junction.logFC	junction.pvalue	junction.fdr	junction.uniformity	junction.participation	countsJ1.col_16	countsJ1.col_23	countsJ2.col_16	countsJ2.col_23	countsJ3.col_16	countsJ3.col_23	cluster.pvalue	cluster.fdr	bin	bin.pvalue	bin.fdr	dPIR
1.128551.128932	No	1.41503749927884	3.97710132643508	0.00969115658482849	0.00821972443320531	NA	0.0686695278969957	35	48	37.3333333333333	48.3333333333333	5.33333333333333	0	2.7728219658235e-05	0.00688003706712602	AT1G01320:I023	0.760061005046419	0.999995054331151	-0.0686695278969957
1.226081.226171	Yes	10.586370695114	0.0412199894348255	1	1	NA	0.968697596422582	19	79	18.3333333333333	66	1155.33333333333	1919.66666666667	4.75941512367539e-08	3.17425984975398e-05	AT1G01620:I001	1.97289651234587e-07	0.000372185738562173	-0.0389268505394697
1.226311.226396	Yes	10.8752373943384	0.0174119288252328	1	1	NA	0.979446127217655	14.3333333333333	49.6666666666667	17.3333333333333	36.3333333333333	1509	2247.66666666667	0.000311977360976915	0.0408039486076608	AT1G01620:I002	0.000152880707676474	0.064522663954918	-0.0162980055207543
1.226691.226849	Yes	10.6888330984931	0.0335288953669367	1	1	NA	0.967671366067088	24.3333333333333	71	20	66.6666666666667	1327	1974.33333333333	3.80756333520949e-06	0.00134608815217957	AT1G01620:I003	0.000518351336062774	0.131544463289097	-0.0328544468751688
1.288176.288401	Yes	8.11721018464439	0.0459070792818803	1	1	NA	0.961224489795918	7.33333333333333	11	5.33333333333333	10	314	241.333333333333	0.0188160556891518	0.327553324870816	AT1G01790:I010	3.82715233614711e-05	0.0246605631951267	-0.0412753157171382
1.313418.313567	Yes	3.54432051622381	1.68655043054839	0.000533132416344305	0.000616281508801674	NA	0.0772357723577236	66	81.6666666666667	161	224	19	4.33333333333333	1.1048557713955e-06	0.000472270599483007	AT1G01910:E006	0.000909382365768559	0.180927803620934	-0.0632572777340678
1.313418.313567	Yes	3.54432051622381	1.68655043054839	0.000533132416344305	0.000616281508801674	NA	0.0772357723577236	66	81.6666666666667	161	224	19	4.33333333333333	1.1048557713955e-06	0.000472270599483007	AT1G01910:E005	0.0526391418887851	0.888468105600571	-0.0632572777340678
1.313452.313567	Yes	3.1963972128035	0.440337240867144	1	1	NA	0.0430906389301634	53.6666666666667	70.3333333333333	161	224	9.66666666666667	8.66666666666667	0.409986208803999	0.842021662987235	AT1G01910:E006	0.000909382365768559	0.180927803620934	-0.0144877786441348
1.1042741.1042954	Yes	9.27185205178185	0.0567793896301988	1	1	NA	0.978991596638656	10.3333333333333	25.6666666666667	6.33333333333333	12	776.666666666667	459.666666666667	3.22403868343928e-08	2.32302307385822e-05	AT1G04040:I001	3.43966700557062e-09	1.05603847071616e-05	-0.0547288620542051
1.1043163.1043392	Yes	9.16950749455446	0.090327152463164	1	1	NA	0.989551589029169	3	19.6666666666667	5	22	757.666666666667	394	4.85064402220655e-16	1.341616803542e-12	AT1G04040:I002	4.78512493219171e-15	6.81136433416042e-11	-0.0851904566649757
